assignment_id,feature_id,engineer_id,version,feature_name,group_id,lifecycle_status,progress_pct
A0001,F0001,E06,2023.12,Phone Call Controls,6,released,100
A0002,F0002,E04,2023.12,Text Size,3,released,100
A0003,F0003,E04,2023.12,Scroll Wheel Customization,3,released,100
A0004,F0004,E04,2023.12,Controls Search,3,released,100
A0005,F0005,E04,2023.12,Gear Chimes,3,released,100
A0006,F0006,E04,2023.12,Passenger Seat Controls,3,released,100
A0007,F0007,E05,2023.12,Points of Interest,4,released,100
A0008,F0008,E06,2023.12,Voice Recognition Language,6,released,100
A0009,F0009,E01,2023.12,Speed Assist,1,released,100
A0010,F0010,E06,2023.12,Zoom Meetings,6,released,100
A0011,F0011,E04,2023.12,Get to Know Your Tesla,3,released,100
A0012,F0012,E06,2023.12,Handwriting,6,released,100
A0013,F0013,E04,2023.12,Rename Vehicle in App,3,released,100
A0014,F0014,E03,2023.12,Improvements to Automatic Emergency Braking,2,released,100
A0015,F0015,E04,2023.12,Parked Visualization,3,released,100
A0016,F0016,E04,2023.12,Speedometer Font,3,released,100
A0017,F0017,E05,2023.12,Nav Improvements,4,released,100
A0018,F0018,E04,2023.12,Favoriting Songs,5,released,100
A0019,F0019,E04,2023.12,Adjust Wiper Speed,3,released,100
A0020,F0020,E08,2023.12,Air Suspension,7,released,100
A0021,F0021,E04,2023.12,Tesla Theater Icons,5,released,100
A0022,F0022,E04,2023.12,App Drawer,3,released,100
A0023,F0023,E04,2023.12,New Labels,3,released,100
A0024,F0024,E04,2023.12,Charging Screen,3,released,100
A0025,F0025,E02,2023.12.10,Full Self-Driving (Beta),1,released,100
A0026,F0026,E01,2023.12.10,FSD Beta v11.3.6,1,released,100
A0027,F0027,E04,2023.12.10,Over-the-Air (OTA) Recall,3,released,100
A0028,F0028,E04,2023.12.10,Driving Visualization Improvements,3,released,100
A0029,F0029,E02,2023.12.10,Full Self-Driving (Beta) Suspension,1,released,100
A0030,F0030,E01,2023.12.10,Park Assist,1,released,100
A0031,F0031,E06,2023.12.10,Phone Call Controls,6,released,100
A0032,F0032,E04,2023.12.10,Text Size,3,released,100
A0033,F0033,E04,2023.12.10,Scroll Wheel Customization,3,released,100
A0034,F0034,E04,2023.12.10,Controls Search,3,released,100
A0035,F0035,E04,2023.12.10,Gear Chimes,3,released,100
A0036,F0036,E04,2023.12.10,Passenger Seat Controls,3,released,100
A0037,F0037,E05,2023.12.10,Points of Interest,4,released,100
A0038,F0038,E06,2023.12.10,Voice Recognition Language,6,released,100
A0039,F0039,E04,2023.12.10,Get to Know Your Tesla,3,released,100
A0040,F0040,E04,2023.12.10,Rename Vehicle in App,3,released,100
A0041,F0041,E07,2023.12.10,Improvements to Automatic Emergency Braking,2,released,100
A0042,F0042,E04,2023.12.10,Parked Visualization,3,released,100
A0043,F0043,E04,2023.12.10,Speedometer Font,3,released,100
A0044,F0044,E05,2023.12.10,Nav Improvements,4,released,100
A0045,F0045,E04,2023.12.10,Favoriting Songs,5,released,100
A0046,F0046,E04,2023.12.10,Adjust Wiper Speed,3,released,100
A0047,F0047,E08,2023.12.10,Air Suspension,7,released,100
A0048,F0048,E04,2023.12.10,Tesla Theater Icons,5,released,100
A0049,F0049,E04,2023.12.10,App Drawer,3,released,100
A0050,F0050,E04,2023.12.10,New Labels,3,released,100
A0051,F0051,E04,2023.12.10,Charging Screen,3,released,100
A0052,F0052,E04,2023.12.8,Refresh Your Data Sharing Settings,3,released,100
A0053,F0053,E04,2023.12.8,Regenerative Braking,3,released,100
A0054,F0054,E04,2023.12.8,Power Meter,3,released,100
A0055,F0055,E04,2023.12.8,Track Mode,3,released,100
A0056,F0056,E06,2023.12.8,Phone Call Controls,6,released,100
A0057,F0057,E04,2023.12.8,Text Size,3,released,100
A0058,F0058,E04,2023.12.8,Scroll Wheel Customization,3,released,100
A0059,F0059,E04,2023.12.8,Controls Search,3,released,100
A0060,F0060,E04,2023.12.8,Gear Chimes,3,released,100
A0061,F0061,E04,2023.12.8,Passenger Seat Controls,3,released,100
